query index: 1151, matched index: 4370, distance: 3.1940654530438732
query index: 1152, matched index: 4373, distance: 3.144062693243812
query index: 1153, matched index: 4374, distance: 3.254505977477897
query index: 1154, matched index: 4384, distance: 3.322227640116261
query index: 1155, matched index: 4390, distance: 3.423297615335189
query index: 1156, matched index: 4394, distance: 3.3293169894787105
query index: 1157, matched index: 4396, distance: 3.2240941946645765
query index: 1158, matched index: 4398, distance: 3.290312029525372
query index: 1159, matched index: 4400, distance: 3.531222686906225
query index: 1160, matched index: 4405, distance: 3.439743939359592
query index: 1161, matched index: 4419, distance: 3.2097722730246296
query index: 1162, matched index: 4426, distance: 3.6827373783809163
query index: 1163, matched index: 4430, distance: 3.655483278029397
query index: 1164, matched index: 4434, distance: 3.696636378440442
query index: 1165, matched index: 4436, distance: 3.6041786051120774
query index: 1166, matched index: 4439, distance: 3.6492633551090363
query index: 1167, matched index: 4445, distance: 3.530890370807924
query index: 1168, matched index: 4450, distance: 3.431141951777291
query index: 1169, matched index: 4459, distance: 3.372902112404456
query index: 1170, matched index: 4461, distance: 3.1154500122108586
query index: 1171, matched index: 4463, distance: 3.0933966868454554
query index: 1172, matched index: 4466, distance: 3.1784645580660214
query index: 1173, matched index: 4472, distance: 3.2012431859790484
query index: 1174, matched index: 4481, distance: 3.213073732935313
query index: 1175, matched index: 4485, distance: 3.1257937703760743
query index: 1176, matched index: 4490, distance: 2.963497088833579
query index: 1177, matched index: 4497, distance: 2.9077269410689164
query index: 1178, matched index: 4497, distance: 3.267194832980828
query index: 1179, matched index: 4512, distance: 3.5055715548947606
query index: 1180, matched index: 4505, distance: 3.6705599717795607
query index: 1181, matched index: 4520, distance: 2.764858255378398
query index: 1182, matched index: 4524, distance: 2.438607345825801
query index: 1183, matched index: 4530, distance: 2.3458176935550563
query index: 1184, matched index: 4533, distance: 2.193005096252126
query index: 1185, matched index: 4537, distance: 2.237656311697101
query index: 1186, matched index: 4541, distance: 2.267111496486263
query index: 1187, matched index: 4776, distance: 2.970128188631929
query index: 1188, matched index: 4547, distance: 2.274327616892806
query index: 1189, matched index: 4550, distance: 2.2322980034270588
query index: 1190, matched index: 4548, distance: 3.301767385908534
query index: 1191, matched index: 4565, distance: 0.38010814594325637
query index: 1192, matched index: 4563, distance: 0.45542882650288036
query index: 1193, matched index: 4568, distance: 0.6371572683865171
query index: 1194, matched index: 4573, distance: 0.7275895007876719
query index: 1195, matched index: 4578, distance: 0.9040804159713737
query index: 1196, matched index: 4582, distance: 0.8508776154691353
query index: 1197, matched index: 4588, distance: 1.0632513483092534
query index: 1198, matched index: 4592, distance: 0.7073445200271249
query index: 1199, matched index: 4592, distance: 1.0208055273629209
query index: 1200, matched index: 4599, distance: 0.34593092189676256
query index: 1201, matched index: 4602, distance: 0.5545486627192837
query index: 1202, matched index: 4612, distance: 0.6202307431152926
query index: 1203, matched index: 4613, distance: 0.7637431597245277
query index: 1204, matched index: 4627, distance: 1.3918402259826952
query index: 1205, matched index: 4626, distance: 0.6214797336618539
query index: 1206, matched index: 4624, distance: 0.2257620259129291
query index: 1207, matched index: 4625, distance: 0.20467364080269448
query index: 1208, matched index: 4628, distance: 0.23735219993131496
query index: 1209, matched index: 4660, distance: 2.394607137591585
query index: 1210, matched index: 4665, distance: 2.5593164056173956
query index: 1211, matched index: 4672, distance: 2.561193919251679
query index: 1212, matched index: 4676, distance: 2.565190979460694
query index: 1213, matched index: 4680, distance: 2.626486770646077
query index: 1214, matched index: 4682, distance: 2.6081511877730676
query index: 1215, matched index: 4704, distance: 1.995379912192248
query index: 1216, matched index: 4724, distance: 0.6298226341944592
query index: 1217, matched index: 4734, distance: 1.4973090346584115
query index: 1218, matched index: 4734, distance: 0.2405317631231875
query index: 1219, matched index: 4739, distance: 0.41251414047677615
query index: 1220, matched index: 4745, distance: 0.7241745101794356
query index: 1221, matched index: 4749, distance: 0.24143757418536108
query index: 1222, matched index: 4752, distance: 0.4845343612405241
query index: 1223, matched index: 4761, distance: 0.6081940063000387
query index: 1224, matched index: 4763, distance: 0.5342422884575179
query index: 1225, matched index: 4765, distance: 0.7970879746843799
query index: 1226, matched index: 4768, distance: 0.08764994129694952
query index: 1227, matched index: 4766, distance: 0.7740006436291373
query index: 1228, matched index: 4770, distance: 0.463612064389004
query index: 1229, matched index: 4775, distance: 0.15224185910376456
query index: 1230, matched index: 4781, distance: 0.42685159141030776
query index: 1231, matched index: 4782, distance: 0.6682298713524836
query index: 1232, matched index: 4792, distance: 0.27936570397534044
query index: 1233, matched index: 4798, distance: 0.7198257131333021
query index: 1234, matched index: 4803, distance: 0.6206781931188675
query index: 1235, matched index: 4803, distance: 0.7981359974003345
query index: 1236, matched index: 4821, distance: 2.381718326199355
query index: 1237, matched index: 4822, distance: 1.1653200060470885
query index: 1238, matched index: 4823, distance: 0.4924361466000558
query index: 1239, matched index: 4831, distance: 0.9776786999413366
query index: 1240, matched index: 4835, distance: 0.6426646229553189
query index: 1241, matched index: 4836, distance: 0.6853766566987781
query index: 1242, matched index: 4845, distance: 0.4548593188966399
query index: 1243, matched index: 4851, distance: 0.7486362974934371
